FBLN7, 4693, 7.760753
CAMK2G, 1879, 7.588401
RFPL2, 11566, 7.574587
FBXO9, 4746, 7.536915
CITED2, 2655, 7.526985
KCNC3, 6732, 7.490723
NAPEPLD, 8883, 7.489306
ENTPD4, 4212, 7.411714
ACTR1B, 186, 7.401688
CABP1, 1812, 7.356766
SORL1, 13166, 7.312672
PREP, 10833, 7.269815
OR2L8, 9630, 7.253516
RFX8, 11579, 7.194804
MYO15A, 8785, 7.194581
SAP30L, 12139, 7.173264
KLHL8, 7002, 7.151199
NT5M, 9431, 7.148680
ZSCAN31, 16368, 7.142933
JADE1, 6639, 7.137062
CPNE9, 3002, 7.119167
PLEKHM2, 10438, 7.112254
DCLRE1A, 3403, 7.099774
MAP3K13, 7978, 7.083467
AIFM3, 397, 7.072876
FAM217B, 4571, 7.068423
GDPD1, 5219, 7.061583
RORB, 11817, 7.061557
NIPAL2, 9157, 7.040330
WBP2NL, 15427, 7.028335
PRSS16, 10960, 7.018977
HTR1F, 6235, 7.011460
SKIDA1, 12595, 7.003536
ARL4C, 881, 7.001118
METTL21A, 8226, 7.000863
PIP4P2, 10312, 6.991710
FGF18, 4805, 6.984796
KCNS1, 6795, 6.982644
ARNTL, 917, 6.981475
PDIK1L, 10052, 6.978537
ATP1A1, 1070, 6.963891
OR2L3, 9628, 6.945960
RBFOX3, 11423, 6.945658
STEAP2, 13500, 6.939243
ZBTB16, 15655, 6.932104
ERRFI1, 4313, 6.919895
IFFO2, 6300, 6.901069
SIRT4, 12585, 6.900468
NFIC, 9113, 6.899632
CHML, 2567, 6.890332
SNX21, 13121, 6.883760
LINC00473, 7347, 6.880579
EIF4E1B, 4088, 6.876962
SLC25A5, 12719, 6.876767
CCNI, 2161, 6.876383
PRDM2, 10816, 6.872687
GPR137C, 5531, 6.871536
SLC24A2, 12675, 6.857794
ABTB1, 98, 6.843804
PRC1, 10808, 6.842048
MIR600HG, 8352, 6.838488
MIR31HG, 8348, 6.824748
SOHLH1, 13156, 6.814870
GABRA1, 5094, 6.814136
BICDL2, 1360, 6.795768
PELI3, 10097, 6.775137
PPIEL, 10688, 6.765091
ZFP14, 15766, 6.764606
MAGI3, 7923, 6.749366
KIAA1107, 6878, 6.739058
TIAM2, 14082, 6.735233
SHROOM2, 12548, 6.734478
NUAK1, 9447, 6.733313
RSPO2, 12022, 6.731360
RELL2, 11526, 6.722534
ZNF365, 15985, 6.719838
SLCO4A1, 12905, 6.719207
SHD, 12524, 6.709942
KCNH1, 6743, 6.708548
HES6, 5904, 6.704000
COQ3, 2938, 6.703743
NOS2, 9268, 6.697296
FES, 4787, 6.692055
SAT2, 12154, 6.680509
STX19, 13565, 6.657250
MAP3K9, 7990, 6.623888
HEXIM1, 5909, 6.618350
HAPLN4, 5793, 6.616733
KCNK12, 6771, 6.597639
NCKIPSD, 8951, 6.582174
USP28, 15213, 6.581399
SAMD12, 12122, 6.580399
PKD1, 10337, 6.578944
KCTD9, 6823, 6.569216
PLXDC1, 10484, 6.567968
KIAA0408, 6867, 6.565036
ECSIT, 3959, 6.555340
ST8SIA1, 13458, 6.543131
MKX, 8374, 6.539045
HECW1, 5876, 6.533998
CHGA, 2556, 6.533544
HCN1, 5831, 6.532880
KCNJ3, 6764, 6.523481
KCNS2, 6796, 6.519882
ZSCAN29, 16366, 6.517042
KCNJ11, 6756, 6.512777
RIMS3, 11668, 6.505076
CDKL1, 2352, 6.498624
KCTD8, 6822, 6.496013
DPY19L1P1, 3809, 6.491995
NIF3L1, 9146, 6.475634
C3orf58, 1714, 6.472746
POU6F2, 10650, 6.467193
SLC45A4, 12833, 6.466618
GLS2, 5348, 6.461863
ECM1, 3955, 6.459811
ACTN4, 183, 6.457232
RMND1, 11701, 6.450406
SYNDIG1, 13667, 6.441433
SSX2IP, 13431, 6.440895
DDX46, 3472, 6.433110
DNAJC5G, 3727, 6.432014
FNDC4, 4921, 6.431999
CTSA, 3186, 6.427896
RTKN2, 12039, 6.427861
KCNA2, 6721, 6.426730
RAI1, 11317, 6.426218
TRIM54, 14697, 6.423312
MAFB, 7903, 6.419517
CUX2, 3219, 6.417695
ZNF398, 15999, 6.407559
MICAL2, 8308, 6.402277
MRPS30, 8588, 6.401913
RFPL1, 11564, 6.401830
KCNB1, 6728, 6.395932
GABRD, 5102, 6.394076
STAMBPL1, 13477, 6.393658
ATP4A, 1085, 6.388436
SLC16A7, 12635, 6.384032
DPP8, 3805, 6.383686
STAT4, 13492, 6.379317
LYSMD4, 7872, 6.379288
ATRNL1, 1149, 6.376332
TSHZ1, 14787, 6.372651
TMEM237, 14328, 6.369551
IGFBP2, 6354, 6.364068
TNNC2, 14484, 6.359941
NOVA1, 9281, 6.350184
TADA2A, 13735, 6.347306
AVPI1, 1174, 6.345965
CACNG2, 1837, 6.340991
STRBP, 13545, 6.339287
PTPN4, 11111, 6.337131
HAGHL, 5786, 6.336652
CFAP74, 2501, 6.335092
ANKRD34C, 619, 6.333041
MAST4, 8059, 6.322455
OPN3, 9593, 6.322396
RASIP1, 11393, 6.319268
FNDC5, 4922, 6.314986
XKR9, 15565, 6.306268
IFFO1, 6299, 6.297925
RGS6, 11613, 6.295561
ZNF212, 15890, 6.292162
KBTBD2, 6713, 6.290589
PPARGC1B, 10662, 6.288881
ZRANB1, 16351, 6.288104
PGBD4, 10156, 6.283966
CCNB1IP1, 2149, 6.279631
PLEKHH3, 10434, 6.279156
FLRT3, 4893, 6.278660
RGPD6, 11595, 6.276792
NEIL1, 9056, 6.270091
USP13, 15198, 6.265837
INSM2, 6487, 6.265142
MTDH, 8655, 6.263371
MADCAM1, 7896, 6.262981
CTSK, 3192, 6.262762
SIRT5, 12586, 6.260565
PRIM1, 10844, 6.249238
GLRX2, 5344, 6.248474
DNAAF2, 3675, 6.247601
OSBP2, 9679, 6.243821
IER5L, 6298, 6.241924
COX7A1, 2973, 6.240878
SDR16C5, 12273, 6.233871
GNB5, 5394, 6.231467
CAMKK1, 1883, 6.213991
PPM1A, 10700, 6.205945
MRPL16, 8524, 6.203300
DPH1, 3790, 6.201997
FBXO32, 4729, 6.185321
PVR, 11158, 6.184583
RARB, 11365, 6.183718
ZNF124, 15847, 6.181095
GLMN, 5335, 6.178370
RNF220, 11773, 6.176968
FBXO33, 4730, 6.175380
PKNOX2, 10356, 6.173789
DCBLD2, 3393, 6.160234
RBBP4, 11413, 6.156252
EPHX4, 4253, 6.149391
ABCC8, 49, 6.147369
TMEM81, 14402, 6.138058
POSTN, 10635, 6.135646
KYAT1, 7139, 6.134467
CLN6, 2733, 6.125849
NFKB1, 9116, 6.119658
ZADH2, 15639, 6.116476
OSTF1, 9701, 6.115144
ZNF567, 16113, 6.112069
FMN1, 4903, 6.106955
CEMIP, 2401, 6.099816
ENO2, 4194, 6.098684
MYH7B, 8768, 6.096885
HTD2, 6232, 6.092532
BTBD11, 1486, 6.091118
PCGF1, 9953, 6.087272
PAG1, 9785, 6.084563
TMEM38A, 14362, 6.082956
CHAF1A, 2529, 6.079102
TMEM25, 14340, 6.077372
MIR4697HG, 8351, 6.076733
BCL2L2, 1297, 6.074493
FMR1, 4910, 6.069537
TUBGCP4, 14925, 6.063722
GLIPR1, 5328, 6.061352
ZNF322, 15959, 6.052130
ZNF557, 16102, 6.051229
IQSEC1, 6544, 6.049195
ZNF641, 16175, 6.042605
IPCEF1, 6515, 6.038759
ZFYVE9, 15797, 6.034675
SGK494, 12470, 6.033954
SCAI, 12176, 6.031871
NAGPA, 8864, 6.030775
BDH1, 1321, 6.029022
LGI2, 7277, 6.026293
MOCS1, 8429, 6.024404
EMX1, 4178, 6.023503
SPTSSB, 13340, 6.011437
RMDN2, 11697, 6.010247
LRRC38, 7741, 6.008923
BMS1, 1404, 6.003441
EFNA5, 4015, 5.998611
FLRT2, 4892, 5.998189
ARHGEF12, 835, 5.995181
NUPL2, 9508, 5.993272
SPATA22, 13227, 5.992328
VSNL1, 15377, 5.987398
EHD2, 4038, 5.982202
LAPTM4B, 7182, 5.978381
ADPRHL1, 306, 5.974052
EPHB6, 4249, 5.973642
LRRC59, 7759, 5.969690
SDHA, 12260, 5.965534
KCNC1, 6730, 5.964725
KCNAB3, 6727, 5.963974
RAD54B, 11308, 5.958904
TRERF1, 14649, 5.949740
ADAM20P1, 216, 5.949263
MDH1, 8137, 5.945927
PGK1, 10163, 5.939025
STPG1, 13540, 5.937908
HACL1, 5781, 5.936826
PPA2, 10654, 5.936022
ZMAT4, 15821, 5.934148
XYLB, 15585, 5.929915
HIST1H4A, 5991, 5.923369
SBNO1, 12168, 5.922517
STARD10, 13480, 5.921818
ELL2, 4121, 5.921320
ZSCAN9, 16371, 5.918445
APOL2, 745, 5.917878
BLMH, 1376, 5.916122
CCNO, 2167, 5.915212
NFIX, 9115, 5.910117
TESPA1, 13982, 5.907893
EIF4A2, 4084, 5.905782
PLCXD1, 10402, 5.904399
IGIP, 6365, 5.898941
